itemID,itemName,itemInfo,itemType,itemAttribute,itemQuantity,itemEffectID,plantID,itemImprovedNum
1122003,코코넛 씨앗 (+2),땅에 심고 물과 비료를 소모하면 코코넛 나무로 자라는 씨앗,2,3,99,0,1210003,2
1123003,코코넛 씨앗 (+3),땅에 심고 물과 비료를 소모하면 코코넛 나무로 자라는 씨앗,2,3,99,0,1210003,3
1124003,코코넛 씨앗 (+4),땅에 심고 물과 비료를 소모하면 코코넛 나무로 자라는 씨앗,2,3,99,0,1210003,4
1125003,코코넛 씨앗 (+5),땅에 심고 물과 비료를 소모하면 코코넛 나무로 자라는 씨앗,2,3,99,0,1210003,5
1126003,코코넛 씨앗 (+6),땅에 심고 물과 비료를 소모하면 코코넛 나무로 자라는 씨앗,2,3,99,0,1210003,6
1127003,코코넛 씨앗 (+7),땅에 심고 물과 비료를 소모하면 코코넛 나무로 자라는 씨앗,2,3,99,0,1210003,7
1128003,코코넛 씨앗 (+8),땅에 심고 물과 비료를 소모하면 코코넛 나무로 자라는 씨앗,2,3,99,0,1210003,8
1129003,코코넛 씨앗 (+9),땅에 심고 물과 비료를 소모하면 코코넛 나무로 자라는 씨앗,2,3,99,0,1210003,9
1120004,수박 씨앗 (+0),땅에 심고 물과 비료를 소모하면 수박 나무로 자라는 씨앗,2,1,99,0,1210004,0
1121004,수박 씨앗 (+1),땅에 심고 물과 비료를 소모하면 수박 나무로 자라는 씨앗,2,1,99,0,1210004,1
1122004,수박 씨앗 (+2),땅에 심고 물과 비료를 소모하면 수박 나무로 자라는 씨앗,2,1,99,0,1210004,2
1123004,수박 씨앗 (+3),땅에 심고 물과 비료를 소모하면 수박 나무로 자라는 씨앗,2,1,99,0,1210004,3
1124004,수박 씨앗 (+4),땅에 심고 물과 비료를 소모하면 수박 나무로 자라는 씨앗,2,1,99,0,1210004,4
1125004,수박 씨앗 (+5),땅에 심고 물과 비료를 소모하면 수박 나무로 자라는 씨앗,2,1,99,0,1210004,5
1126004,수박 씨앗 (+6),땅에 심고 물과 비료를 소모하면 수박 나무로 자라는 씨앗,2,1,99,0,1210004,6
1127004,수박 씨앗 (+7),땅에 심고 물과 비료를 소모하면 수박 나무로 자라는 씨앗,2,1,99,0,1210004,7
1128004,수박 씨앗 (+8),땅에 심고 물과 비료를 소모하면 수박 나무로 자라는 씨앗,2,1,99,0,1210004,8
1129004,수박 씨앗 (+9),땅에 심고 물과 비료를 소모하면 수박 나무로 자라는 씨앗,2,1,99,0,1210004,9
