equipID,equipName,equipInfo,equipType,equipAttribute,equipQuantity,equipDurability,equipAttack,equipAttackSpeed,equipArmor,equipBarrier,debuffToEnemy,buffToPlayer,equipImprovedNum,improvedSeedID,seedID,regressedSeedID
1014002,카타나 페퍼 (+4),"긴 일본도 모양의 거대한 청양고추, 칼집같은 껍질 안쪽엔 날카로운 칼날이 있다. 
휘두를 때마다 주변 지형과 적에게 불을 붙여 지속적인 피해를 준다.",1,1,1,50,18,4,0,0,0,0,4 ,1125002,1124002,1123002
1015002,카타나 페퍼 (+5),"긴 일본도 모양의 거대한 청양고추, 칼집같은 껍질 안쪽엔 날카로운 칼날이 있다. 
휘두를 때마다 주변 지형과 적에게 불을 붙여 지속적인 피해를 준다.",1,1,1,50,20,4.5,0,0,0,0,5 ,1126002,1125002,1124002
1016002,카타나 페퍼 (+6),"긴 일본도 모양의 거대한 청양고추, 칼집같은 껍질 안쪽엔 날카로운 칼날이 있다. 
휘두를 때마다 주변 지형과 적에게 불을 붙여 지속적인 피해를 준다.",1,1,1,50,22,5,0,0,0,0,6 ,1127002,1126002,1125002
1017002,카타나 페퍼 (+7),"긴 일본도 모양의 거대한 청양고추, 칼집같은 껍질 안쪽엔 날카로운 칼날이 있다. 
휘두를 때마다 주변 지형과 적에게 불을 붙여 지속적인 피해를 준다.",1,1,1,50,24,5.5,0,0,0,0,7 ,1128002,1127002,1126002
1018002,카타나 페퍼 (+8),"긴 일본도 모양의 거대한 청양고추, 칼집같은 껍질 안쪽엔 날카로운 칼날이 있다. 
휘두를 때마다 주변 지형과 적에게 불을 붙여 지속적인 피해를 준다.",1,1,1,50,26,6,0,0,0,0,8 ,1129002,1128002,1127002
1019002,카타나 페퍼 (+9),"긴 일본도 모양의 거대한 청양고추, 칼집같은 껍질 안쪽엔 날카로운 칼날이 있다. 
휘두를 때마다 주변 지형과 적에게 불을 붙여 지속적인 피해를 준다.",1,1,1,50,28,6.5,0,0,0,0,9 ,1129002,1129002,1128002
1020003,볼링 코코넛 (+0),"볼링공처럼 3개의 구멍이 있는 코코넛 열매,
굴려서 적에게 적중하면 주변 다른 적에게 튕기고 돌아온다.",2,3,1,50,30,0.5,0,0,0,0,0 ,1121003,1120003,1120003
1021003,볼링 코코넛 (+1),"볼링공처럼 4개의 구멍이 있는 코코넛 열매,
굴려서 적에게 적중하면 주변 다른 적에게 튕기고 돌아온다.",2,3,1,50,30,0.5,0,0,0,0,1 ,1122003,1121003,1120003
1022003,볼링 코코넛 (+2),"볼링공처럼 5개의 구멍이 있는 코코넛 열매,
굴려서 적에게 적중하면 주변 다른 적에게 튕기고 돌아온다.",2,3,1,50,30,0.5,0,0,0,0,2 ,1123003,1122003,1121003
1023003,볼링 코코넛 (+3),"볼링공처럼 6개의 구멍이 있는 코코넛 열매,
굴려서 적에게 적중하면 주변 다른 적에게 튕기고 돌아온다.",2,3,1,50,30,0.5,0,0,0,0,3 ,1124003,1123003,1122003
1024003,볼링 코코넛 (+4),"볼링공처럼 7개의 구멍이 있는 코코넛 열매,
굴려서 적에게 적중하면 주변 다른 적에게 튕기고 돌아온다.",2,3,1,50,30,0.5,0,0,0,0,4 ,1125003,1124003,1123003
1025003,볼링 코코넛 (+5),"볼링공처럼 8개의 구멍이 있는 코코넛 열매,
굴려서 적에게 적중하면 주변 다른 적에게 튕기고 돌아온다.",2,3,1,50,30,0.5,0,0,0,0,5 ,1126003,1125003,1124003
1026003,볼링 코코넛 (+6),"볼링공처럼 9개의 구멍이 있는 코코넛 열매,
굴려서 적에게 적중하면 주변 다른 적에게 튕기고 돌아온다.",2,3,1,50,30,0.5,0,0,0,0,6 ,1127003,1126003,1125003
1027003,볼링 코코넛 (+7),"볼링공처럼 10개의 구멍이 있는 코코넛 열매,
굴려서 적에게 적중하면 주변 다른 적에게 튕기고 돌아온다.",2,3,1,50,30,0.5,0,0,0,0,7 ,1128003,1127003,1126003
1028003,볼링 코코넛 (+8),"볼링공처럼 11개의 구멍이 있는 코코넛 열매,
굴려서 적에게 적중하면 주변 다른 적에게 튕기고 돌아온다.",2,3,1,50,30,0.5,0,0,0,0,8 ,1129003,1128003,1127003
1029003,볼링 코코넛 (+9),"볼링공처럼 12개의 구멍이 있는 코코넛 열매,
굴려서 적에게 적중하면 주변 다른 적에게 튕기고 돌아온다.",2,3,1,50,30,0.5,0,0,0,0,9 ,1129003,1129003,1128003
1030004,갑옷 수박 (+0),"축축하지만 단단하여 방어구로 입을 수 있는 거대한 수박 껍질,
내구도가 줄어들 때마다 씨앗과 더불어 물도 같이 드랍한다.",3,1,1,30,0,0,1,30,0,0,0 ,1121004,1120004,1120004
1031004,갑옷 수박 (+1),"축축하지만 단단하여 방어구로 입을 수 있는 거대한 수박 껍질,
내구도가 줄어들 때마다 씨앗과 더불어 물도 같이 드랍한다.",3,1,1,30,0,0,5,45,0,0,1 ,1122004,1121004,1120004
1032004,갑옷 수박 (+2),"축축하지만 단단하여 방어구로 입을 수 있는 거대한 수박 껍질,
내구도가 줄어들 때마다 씨앗과 더불어 물도 같이 드랍한다.",3,1,1,30,0,0,10,60,0,0,2 ,1123004,1122004,1121004
1033004,갑옷 수박 (+3),"축축하지만 단단하여 방어구로 입을 수 있는 거대한 수박 껍질,
내구도가 줄어들 때마다 씨앗과 더불어 물도 같이 드랍한다.",3,1,1,30,0,0,15,75,0,0,3 ,1124004,1123004,1122004
1034004,갑옷 수박 (+4),"축축하지만 단단하여 방어구로 입을 수 있는 거대한 수박 껍질,
내구도가 줄어들 때마다 씨앗과 더불어 물도 같이 드랍한다.",3,1,1,30,0,0,20,90,0,0,4 ,1125004,1124004,1123004
1035004,갑옷 수박 (+5),"축축하지만 단단하여 방어구로 입을 수 있는 거대한 수박 껍질,
내구도가 줄어들 때마다 씨앗과 더불어 물도 같이 드랍한다.",3,1,1,30,0,0,25,105,0,0,5 ,1126004,1125004,1124004
1036004,갑옷 수박 (+6),"축축하지만 단단하여 방어구로 입을 수 있는 거대한 수박 껍질,
내구도가 줄어들 때마다 씨앗과 더불어 물도 같이 드랍한다.",3,1,1,30,0,0,30,120,0,0,6 ,1127004,1126004,1125004
1037004,갑옷 수박 (+7),"축축하지만 단단하여 방어구로 입을 수 있는 거대한 수박 껍질,
내구도가 줄어들 때마다 씨앗과 더불어 물도 같이 드랍한다.",3,1,1,30,0,0,35,135,0,0,7 ,1128004,1127004,1126004
1038004,갑옷 수박 (+8),"축축하지만 단단하여 방어구로 입을 수 있는 거대한 수박 껍질,
내구도가 줄어들 때마다 씨앗과 더불어 물도 같이 드랍한다.",3,1,1,30,0,0,40,150,0,0,8 ,1129004,1128004,1127004
1039004,갑옷 수박 (+9),"축축하지만 단단하여 방어구로 입을 수 있는 거대한 수박 껍질,
내구도가 줄어들 때마다 씨앗과 더불어 물도 같이 드랍한다.",3,1,1,30,0,0,45,165,0,0,9 ,1129004,1129004,1128004
